phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
stomatasize,10017,Petro-1,CS76370,21.46,44.34,Serbia,106.3446741881,25679
stomatasize,10005,Copac-1,CS76420,21.95,46.11,Romania,123.6541333333,25678
stomatasize,9950,Vie-0,CS76418,0.76,42.63,Spain,102.5497,25677
stomatasize,9949,Qui-0,CS76417,-6.93,42.69,Spain,105.6296905527,25676
stomatasize,9948,Pra-6,CS76416,-3.54,41.05,Spain,108.6393,25675
stomatasize,9942,Agu-1,CS76409,-1.34,41.32,Spain,120.1445,25674
stomatasize,9938,WAV-8,CS78854,2.99,50.65,France,109.5128333333,25673
stomatasize,9906,IP-Mah-6,CS77063,4.25,40.0,Spain,113.0379666667,25672
stomatasize,9904,IP-Vas-0,CS78833,-3.31,40.95,Spain,118.81635,25671
stomatasize,9903,IP-Val-0,CS78829,-3.1,42.31,Spain,108.7898,25670
stomatasize,9902,IP-Usa-0,CS78825,-3.24,40.71,Spain,117.28645,25669
stomatasize,9901,IP-Urd-1,CS78824,-2.98,42.27,Spain,111.71635,25668
stomatasize,9899,IP-Tau-0,CS77342,0.84,42.54,Spain,114.1913,25667
stomatasize,9898,IP-Som-0,CS77259,-3.58,41.14,Spain,99.7899783728,25666
stomatasize,9897,IP-Smt-1,CS77257,-5.63,40.95,Spain,126.2413333333,25665
stomatasize,9895,IP-Sfb-6,CS77248,2.57,41.78,Spain,121.3959,25664
stomatasize,9892,IP-Sam-0,CS77231,-6.96,42.68,Spain,102.1448333333,25663
stomatasize,9891,IP-Sal-0,CS77230,2.92,41.93,Spain,112.98975,25662
stomatasize,9890,IP-Rib-1,CS77217,-5.07,43.16,Spain,117.1773,25661
stomatasize,9888,IP-Pva-1,CS77197,-3.31,40.93,Spain,118.77735,25660
stomatasize,9886,IP-Pru-0,CS77190,1.73,42.38,Spain,111.69585,25659
stomatasize,9885,IP-Prd-0,CS77189,-3.68,41.14,Spain,111.3189673636,25658
stomatasize,9883,IP-Piq-0,CS77179,-2.56,42.1,Spain,106.5535866799,25657
stomatasize,9882,IP-Pil-0,CS77178,-4.26,40.46,Spain,100.0165257424,25656
stomatasize,9881,IP-Pie-0,CS77176,-5.32,40.46,Spain,102.2898163352,25655
stomatasize,9880,IP-Pib-1,CS77175,-3.44,42.72,Spain,109.5228333333,25654
stomatasize,9878,IP-Pee-0,CS77167,-3.62,40.78,Spain,106.1069333333,25653
stomatasize,9877,IP-Pdl-0,CS77165,-5.6,43.02,Spain,111.8841,25652
stomatasize,9876,IP-Pad-0,CS77158,0.99,41.34,Spain,103.5479,25651
stomatasize,9874,IP-Oja-0,CS77143,-3.0,42.34,Spain,135.0944,25650
stomatasize,9870,IP-Moz-0,CS77111,0.17,41.91,Spain,109.5689,25649
stomatasize,9868,IP-Moe-0,CS77104,2.37,41.78,Spain,117.8631,25648
stomatasize,9867,IP-Mie-1,CS77083,-3.22,40.94,Spain,110.6183333333,25647
stomatasize,9866,IP-Mdd-0,CS77076,-2.79,41.89,Spain,113.3131666667,25646
stomatasize,9864,IP-Mat-0,CS77074,2.69,41.76,Spain,115.5691666667,25645
stomatasize,9861,IP-Mac-0,CS77061,-3.21,40.72,Spain,108.6353,25644
stomatasize,9860,IP-Lum-0,CS77059,-2.62,42.24,Spain,113.7195,25643
stomatasize,9859,IP-Lro-0,CS77054,-3.88,40.5,Spain,112.014,25642
stomatasize,9858,IP-Loz-0,CS77051,-3.8,40.98,Spain,115.6717333333,25641
stomatasize,9857,IP-Leg-0,CS77019,-3.8,40.33,Spain,108.4233519467,25640
stomatasize,9856,IP-Lch-0,CS77010,-4.0,40.51,Spain,112.4481,25639
stomatasize,9855,IP-Lam-0,CS77008,-3.89,40.57,Spain,111.9418333333,25638
stomatasize,9853,IP-Lac-0,CS76996,-5.91,43.33,Spain,130.9509,25637
stomatasize,9852,IP-Ini-0,CS76945,-3.75,40.46,Spain,109.3181,25636
stomatasize,9851,IP-Hue-3,CS76942,-6.1,42.96,Spain,111.3843666667,25635
stomatasize,9850,IP-Hec-0,CS76917,-0.7,42.86,Spain,98.3173444709,25634
stomatasize,9849,IP-Gud-3,CS76895,-4.11,40.65,Spain,102.2332212411,25633
stomatasize,9848,IP-Glo-1,CS76879,-5.77,40.11,Spain,119.4422,25632
stomatasize,9846,IP-Ezc-2,CS76849,-3.02,42.31,Spain,123.0181666667,25631
stomatasize,9845,IP-Evs-0,CS76848,-3.96,40.48,Spain,113.8171,25630
stomatasize,9844,IP-Esn-2,CS76846,0.19,42.27,Spain,117.9966333333,25629
stomatasize,9843,IP-Elp-0,CS76840,-3.92,40.53,Spain,114.7631,25628
stomatasize,9841,IP-Ees-0,CS76836,-4.15,40.59,Spain,108.1089666667,25627
stomatasize,9840,IP-Dar-0,CS76792,-1.43,41.13,Spain,119.5404,25626
stomatasize,9839,IP-Coy-0,CS76785,-4.27,40.44,Spain,126.9358666667,25625
stomatasize,9838,IP-Cot-0,CS76784,-5.38,41.83,Spain,110.8804,25624
stomatasize,9836,IP-Cod-0,CS76777,-1.32,41.25,Spain,110.7477,25623
stomatasize,9835,IP-Cir-0,CS76772,-6.57,40.61,Spain,111.30085,25622
stomatasize,9834,IP-Cho-0,CS76768,-3.9,40.51,Spain,112.0028,25621
stomatasize,9833,IP-Cha-0,CS76764,-4.21,40.38,Spain,100.0062128154,25620
stomatasize,9826,IP-Bor-0,CS76717,-6.71,42.49,Spain,119.2052,25619
stomatasize,9825,IP-Boa-0,CS76714,-3.88,40.4,Spain,101.8551333333,25618
stomatasize,9824,IP-Bes-5,CS76702,-4.91,42.91,Spain,110.6704,25617
stomatasize,9822,IP-Aul-0,CS76675,-4.02,40.52,Spain,108.0222698255,25616
stomatasize,9821,IP-Aru-0,CS76674,2.49,41.81,Spain,114.1047333333,25615
stomatasize,9820,IP-Are-0,CS76671,-4.71,41.0,Spain,113.9273,25614
stomatasize,9819,IP-Amu-0,CS76664,-3.03,42.35,Spain,119.4767333333,25613
stomatasize,9811,Tu-NK-12,CS77395,9.05,48.52,GER,110.5316333333,25612
stomatasize,9807,Schl-7,CS77240,9.22,48.6,GER,112.1526333333,25611
stomatasize,9806,Ru-2,CS77223,9.16,48.56,GER,129.8898,25610
stomatasize,9804,Obe1-15,CS77139,8.87,48.45,GER,120.4295,25609
stomatasize,9795,Wank-2,CS78852,9.11,48.5,GER,130.4871666667,25608
stomatasize,9784,Erg2-6,CS76845,8.8,48.5,GER,111.8027,25607
stomatasize,9778,Bach-7,CS76679,8.84,48.41,GER,113.4704,25606
stomatasize,9776,Fell3-7,CS76857,8.79,48.43,GER,114.699,25605
stomatasize,9772,Hof-1,CS76925,8.85,48.41,GER,112.3973,25604
stomatasize,9756,Staro-2,CS77273,21.08,44.3,Serbia,112.3205666667,25603
stomatasize,9602,IP-Vpa-1,CS78850,-3.96,40.5,Spain,104.7963666667,25602
stomatasize,9601,IP-Voz-0,CS78849,-1.88,41.85,Spain,108.3373233431,25601
stomatasize,9599,IP-Vin-0,CS78846,-5.77,42.8,Spain,126.3108333333,25600
stomatasize,9597,IP-Vig-1,CS78843,-2.53,42.31,Spain,110.8084666667,25599
stomatasize,9596,IP-Ver-5,CS78841,-7.45,41.95,Spain,115.3406666667,25598
stomatasize,9595,IP-Vdt-0,CS78838,-5.5,40.89,Spain,115.1744333333,25597
stomatasize,9594,IP-Vdm-0,CS78837,1.01,42.04,Spain,111.2330666667,25596
stomatasize,9593,IP-Vaz-0,CS78836,-2.99,42.26,Spain,104.5594,25595
stomatasize,9591,IP-Vad-0,CS78826,-3.59,42.86,Spain,107.9007,25594
stomatasize,9589,IP-Tor-1,CS77378,-2.83,41.6,Spain,108.93555,25593
stomatasize,9588,IP-Tol-7,CS77371,0.6,42.11,Spain,117.6188666667,25592
stomatasize,9587,IP-Tdc-0,CS77344,-1.88,41.5,Spain,110.6115333333,25591
stomatasize,9586,IP-Tam-0,CS77340,-3.27,41.03,Spain,114.748,25590
stomatasize,9585,IP-Svi-0,CS77287,-7.39,43.4,Spain,127.859,25589
stomatasize,9584,IP-Stp-0,CS77283,-3.58,41.19,Spain,106.51075,25588
stomatasize,9582,IP-Ses-0,CS77244,-1.63,41.48,Spain,105.418954838,25587
stomatasize,9581,IP-Sdv-3,CS77242,-5.12,42.84,Spain,119.4555666667,25586
stomatasize,9578,IP-Sac-0,CS77229,-6.7,42.13,Spain,121.7874,25585
stomatasize,9577,IP-Ria-0,CS77216,2.17,42.34,Spain,115.4505333333,25584
stomatasize,9573,IP-Rds-0,CS77206,2.99,41.86,Spain,112.8185,25583
stomatasize,9569,IP-Pds-1,CS77166,-6.45,42.87,Spain,110.05645,25582
stomatasize,9568,IP-Pan-0,CS77160,-0.23,42.76,Spain,114.5414666667,25581
stomatasize,9567,IP-Pal-0,CS77159,1.3,42.34,Spain,118.9389,25580
stomatasize,9565,IP-Orb-10,CS77152,-1.23,42.97,Spain,109.1545,25579
stomatasize,9564,IP-Nog-17,CS77129,-1.6,40.45,Spain,114.6633333333,25578
stomatasize,9562,IP-Mur-0,CS77115,2.0,41.67,Spain,118.8943333333,25577
stomatasize,9561,IP-Mun-0,CS77114,-5.04,40.71,Spain,104.2418333333,25576
stomatasize,9558,IP-Moc-11,CS77103,-5.64,41.57,Spain,107.1496666667,25575
stomatasize,9557,IP-Moa-0,CS77102,0.7,42.46,Spain,120.5286,25574
stomatasize,9556,IP-Men-2,CS77081,-4.34,39.66,Spain,107.5958333333,25573
stomatasize,9553,IP-Ldd-0,CS77012,-4.71,41.58,Spain,107.6991666667,25572
stomatasize,9552,IP-Lab-7,CS76995,-4.5,40.87,Spain,119.47065,25571
stomatasize,9551,IP-Jim-1,CS76955,-5.92,42.28,Spain,112.57495,25570
stomatasize,9548,IP-Hoy-0,CS76939,-5.0,40.4,Spain,112.33745,25569
stomatasize,9547,IP-Hor-0,CS76930,2.62,41.67,Spain,112.1561333333,25568
stomatasize,9546,IP-Hom-4,CS76929,-1.68,40.82,Spain,111.4345,25567
stomatasize,9540,IP-Elb-0,CS76838,2.34,41.81,Spain,112.5514,25566
stomatasize,9539,IP-Deh-1,CS76793,-6.67,40.29,Spain,107.2375333333,25565
stomatasize,9535,IP-Coc-1,CS76776,3.19,42.31,Spain,125.09745,25564
stomatasize,9534,IP-Cmo-3,CS76774,-4.65,40.05,Spain,117.32365,25563
stomatasize,9532,IP-Cdo-0,CS76762,-4.64,42.23,Spain,121.2115333333,25562
stomatasize,9531,IP-Cdc-3,CS76761,-4.54,41.21,Spain,101.7210562088,25561
stomatasize,9528,IP-Cal-0,CS78890,-1.37,40.94,Spain,107.4664,25560
stomatasize,9527,IP-Cad-0,CS76739,-5.74,40.37,Spain,110.8796333333,25559
stomatasize,9526,IP-Cab-3,CS76738,2.39,41.54,Spain,117.2390666667,25558
stomatasize,9525,IP-Bis-0,CS76711,0.54,42.49,Spain,106.7617666667,25557
stomatasize,9524,IP-Ber-0,CS78887,-0.56,42.52,Spain,113.1209333333,25556
stomatasize,9521,IP-Bar-1,CS76689,2.13,41.43,Spain,109.7494666667,25555
stomatasize,9520,IP-Ara-4,CS76670,-3.68,41.7,Spain,108.67255,25554
stomatasize,9519,IP-Ang-0,CS78886,2.64,41.94,Spain,109.5987,25553
stomatasize,9517,IP-All-0,CS76659,-7.8,42.19,Spain,108.0530333333,25552
stomatasize,9506,IP-Alo-0,CS76662,-7.47,40.11,POR,118.1091,25551
stomatasize,9481,Yst-1,CS78869,13.8484,55.4242,Sweden,110.60655,25550
stomatasize,9476,VårA 1,CS78832,14.3336,55.5796,Sweden,120.6905333333,25549
stomatasize,9470,Tur-4,CS77399,14.8043,57.6511,Sweden,103.0843579495,25548
stomatasize,9454,Stenk-3,CS77275,18.5162,57.8009,Sweden,104.6597529094,25547
stomatasize,9453,Stenk-2,CS77274,18.5162,57.8009,Sweden,105.3142,25546
stomatasize,9442,Sim-1,CS77250,14.3398,55.5678,Sweden,117.24395,25545
stomatasize,9436,Puk-1,CS77194,14.6806,56.1633,Sweden,119.3533,25544
stomatasize,9421,Lan 1,CS77009,14.3997,55.9745,Sweden,111.8322666667,25543
stomatasize,9409,Kia 1,CS76968,14.302,56.0573,Sweden,96.0100046736,25542
stomatasize,9408,Kal 1,CS76959,13.9519,56.047,Sweden,103.3419333333,25541
stomatasize,9407,HolA-2 2,CS76928,13.399,55.7491,Sweden,107.78635,25540
stomatasize,9405,HolA-1 2,CS76927,13.399,55.7491,Sweden,110.10865,25539
stomatasize,9404,HolA-1 1,CS76926,13.399,55.7491,Sweden,107.9852,25538
stomatasize,9399,Hamm-1,CS76910,13.9905,55.4234,Sweden,109.8156,25537
stomatasize,9395,Hal-1,CS76908,15.0105,57.5089,Sweden,101.1748333333,25536
stomatasize,9388,Grön 14,CS76892,18.1896,62.806,Sweden,110.9641666667,25535
stomatasize,9386,Grön 12,CS76891,18.1896,62.806,Sweden,106.8302666667,25534
stomatasize,9380,FlyA 3,CS76865,13.3742,55.7488,Sweden,116.3649,25533
stomatasize,9371,FäL 1,CS76852,18.3175,63.016,Sweden,99.5166869788,25532
stomatasize,9369,EkS 2,CS76837,14.9986,57.6781,Sweden,110.99375,25531
stomatasize,9363,EdJ 2,CS76833,18.4045,62.9147,Sweden,104.0321546232,25530
stomatasize,9339,Böt 1,CS76720,15.0689,57.7133,Sweden,103.1966889883,25529
stomatasize,9321,Ådal 1,CS76643,18.336,62.8622,Sweden,113.0996666667,25528
stomatasize,9057,Vinslöv,CS78847,13.9167,56.1,Sweden,115.7546666667,25527
stomatasize,8426,Ull1-1,CS78816,13.97,56.06,Sweden,121.0465,25526
stomatasize,8422,Fjä1-1,CS76859,14.29,56.06,Sweden,107.2141333333,25525
stomatasize,8386,Sr:5,CS77268,11.2,58.9,Sweden,116.1902,25524
stomatasize,8376,Sanna-2,CS77234,18.0,62.69,Sweden,122.8612,25523
stomatasize,8369,Rev-1,CS77214,13.4504,55.6942,Sweden,110.299,25522
stomatasize,8351,Ost-0,CS77154,18.37,60.25,Sweden,111.59955,25521
stomatasize,8335,Lund,CS77060,13.2,55.71,Sweden,111.8141666667,25520
stomatasize,8326,Lis-1,CS77042,14.775,56.0328,Sweden,105.217428789,25519
stomatasize,8307,Hovdala-6,CS76938,13.74,56.1,Sweden,108.3065417809,25518
stomatasize,8306,Hov4-1,CS76936,13.74,56.1,Sweden,105.2299,25517
stomatasize,8283,Dra3-1,CS76811,14.12,55.76,Sweden,119.7422,25516
stomatasize,8264,Bla-1,CS76451,2.8,41.6833,Spain,110.9138,25515
stomatasize,8259,Bå5-1,CS76678,12.9,56.4,Sweden,102.6738666667,25514
